Namespace(batch_size=64, data='/media/atsg/Data/datasets/SUN_ARM_project', input_sz=112, lr=0.001, lr_factor=0.75, model='mobilenet0.25', momentum=0.9, num_class=2, num_gpus=1, num_workers=4, wd=0.0001)
[Epoch 155] Train-acc: 0.951, loss: 0.128 | Test-acc: 0.847 | time: 4.5 | Speed: 485.19 samples/sec | lr: 0.00010011
[Epoch 156] Train-acc: 0.958, loss: 0.119 | Test-acc: 0.831 | time: 4.6 | Speed: 476.68 samples/sec | lr: 0.00010011
[Epoch 157] Train-acc: 0.958, loss: 0.113 | Test-acc: 0.845 | time: 4.5 | Speed: 483.81 samples/sec | lr: 0.00010011
[Epoch 158] Train-acc: 0.963, loss: 0.102 | Test-acc: 0.844 | time: 4.5 | Speed: 489.35 samples/sec | lr: 0.00010011
[Epoch 159] Train-acc: 0.952, loss: 0.117 | Test-acc: 0.838 | time: 4.5 | Speed: 484.79 samples/sec | lr: 0.00010011
[Epoch 160] Train-acc: 0.960, loss: 0.103 | Test-acc: 0.842 | time: 4.8 | Speed: 461.79 samples/sec | lr: 0.00010011
[Epoch 161] Train-acc: 0.961, loss: 0.112 | Test-acc: 0.845 | time: 4.7 | Speed: 472.79 samples/sec | lr: 0.00010011
[Epoch 162] Train-acc: 0.950, loss: 0.126 | Test-acc: 0.838 | time: 4.5 | Speed: 483.75 samples/sec | lr: 0.00010011
[Epoch 163] Train-acc: 0.960, loss: 0.108 | Test-acc: 0.838 | time: 4.6 | Speed: 482.78 samples/sec | lr: 0.00010011
[Epoch 164] Train-acc: 0.955, loss: 0.116 | Test-acc: 0.847 | time: 4.5 | Speed: 490.44 samples/sec | lr: 0.00010011
[Epoch 165] Train-acc: 0.958, loss: 0.116 | Test-acc: 0.836 | time: 4.7 | Speed: 469.13 samples/sec | lr: 0.00010011
[Epoch 166] Train-acc: 0.961, loss: 0.100 | Test-acc: 0.835 | time: 4.6 | Speed: 480.42 samples/sec | lr: 0.00010011
[Epoch 167] Train-acc: 0.961, loss: 0.113 | Test-acc: 0.836 | time: 4.5 | Speed: 492.64 samples/sec | lr: 0.00010011
[Epoch 168] Train-acc: 0.955, loss: 0.118 | Test-acc: 0.838 | time: 4.6 | Speed: 483.46 samples/sec | lr: 0.00010011
[Epoch 169] Train-acc: 0.960, loss: 0.098 | Test-acc: 0.836 | time: 4.6 | Speed: 478.64 samples/sec | lr: 0.00010011
[Epoch 170] Train-acc: 0.954, loss: 0.119 | Test-acc: 0.831 | time: 4.5 | Speed: 492.19 samples/sec | lr: 0.00010011
[Epoch 171] Train-acc: 0.963, loss: 0.109 | Test-acc: 0.836 | time: 4.7 | Speed: 469.49 samples/sec | lr: 0.00010011
[Epoch 172] Train-acc: 0.957, loss: 0.118 | Test-acc: 0.838 | time: 4.7 | Speed: 469.37 samples/sec | lr: 0.00010011
[Epoch 173] Train-acc: 0.959, loss: 0.102 | Test-acc: 0.835 | time: 4.6 | Speed: 482.98 samples/sec | lr: 0.00010011
[Epoch 174] Train-acc: 0.963, loss: 0.099 | Test-acc: 0.833 | time: 4.7 | Speed: 472.41 samples/sec | lr: 0.00010011
[Epoch 175] Train-acc: 0.959, loss: 0.107 | Test-acc: 0.835 | time: 4.7 | Speed: 468.41 samples/sec | lr: 0.00010011
[Epoch 176] Train-acc: 0.967, loss: 0.104 | Test-acc: 0.838 | time: 4.6 | Speed: 479.95 samples/sec | lr: 0.00010011
